Team,Conference,latitude,longitude,zip,pic,
Titans,AFC,36.166461,-86.771289,37213,y,g
Giants,NFC,40.812194,-74.076983,10021,y,
Steelers,AFC,40.446786,-80.015761,15202,y,
Panthers,NFC,35.225808,-80.852861,28202,y,g
Ravens,AFC,39.277969,-76.622767,21203,y,g
Buccaneers,NFC,27.975967,-82.50335,33607,y,g
Colts,AFC,39.760056,-86.163806,46201,y,
Vikings,NFC,44.973881,-93.258094,56760,y,
Cardinals,NFC,33.5277,-112.262608,63102,y,
Cowboys,NFC,32.747778,-97.092778,75203,y,
Falcons,NFC,33.757614,-84.400972,30303,y,
Jets,AFC,40.812194,-74.076983,10001,y,
Broncos,AFC,39.743936,-105.020097,28037,y,g
Dolphins,AFC,25.957919,-80.238842,33102,y,
Eagles,NFC,39.900775,-75.167453,19092,y,
Bears,NFC,41.862306,-87.616672,60602,y,
Patriots,AFC,42.090925,-71.26435,58647,y,
Redskins,NFC,38.907697,-76.864517,20575,y,
Packers,NFC,44.501306,-88.062167,54301,y,
Chargers,AFC,32.783117,-117.119525,92103,y,
Saints,NFC,29.950931,-90.081364,70112,y,g
Texans,AFC,29.684781,-95.410956,77002,y,
Bills,AFC,42.773739,-78.786978,14202,y,g
Forty-Niners,NFC,37.713486,-122.386256,94102,y,
Jaguars,AFC,30.323925,-81.637356,32099,y,
Browns,AFC,41.506022,-81.699564,44114,y,
Raiders,AFC,37.751411,-122.200889,94502,y,g
Chiefs,AFC,39.048914,-94.484039,66027,y,
Rams,NFC,38.632975,-90.188547,63101,y,
Seahawks,NFC,47.595153,-122.331625,98102,y,
Bengals,AFC,39.095442,-84.516039,45202,y,
Lions,NFC,42.340156,-83.045808,48205,y,
